"i","j","fij","sj"
"97214","97203",167,"Simple municipality"
"97225","97204",133,"Simple municipality"
"97209","97207",610,"Simple municipality"
"97224","97207",170,"Simple municipality"
"97223","97207",180,"Simple municipality"
"97206","97207",164,"Simple municipality"
"97221","97207",247,"Simple municipality"
"97222","97207",250,"Simple municipality"
"97231","97207",172,"Simple municipality"
"97213","97207",566,"Simple municipality"
"97220","97207",173,"Simple municipality"
"97229","97207",152,"Simple municipality"
"97227","97207",184,"Simple municipality"
"97210","97207",344,"Simple municipality"
"97202","97209",180,"Prefecture"
"97224","97209",2045,"Prefecture"
"97222","97209",1437,"Prefecture"
"97204","97209",234,"Prefecture"
"97220","97209",640,"Prefecture"
"97205","97209",581,"Prefecture"
"97226","97209",117,"Prefecture"
"97214","97209",144,"Prefecture"
"97229","97209",3438,"Prefecture"
"97206","97209",376,"Prefecture"
"97217","97209",356,"Prefecture"
"97230","97209",635,"Prefecture"
"97207","97209",1917,"Prefecture"
"97213","97209",4679,"Prefecture"
"97218","97209",250,"Prefecture"
"97228","97209",601,"Prefecture"
"97210","97209",1110,"Prefecture"
"97231","97209",688,"Prefecture"
"97225","97209",109,"Prefecture"
"97212","97209",661,"Prefecture"
"97232","97209",548,"Prefecture"
"97221","97209",912,"Prefecture"
"97233","97209",178,"Prefecture"
"97234","97209",157,"Prefecture"
"97223","97209",635,"Prefecture"
"97227","97209",687,"Prefecture"
"97213","97210",224,"Simple municipality"
"97209","97210",184,"Simple municipality"
"97207","97210",193,"Simple municipality"
"97222","97210",294,"Simple municipality"
"97232","97210",282,"Simple municipality"
"97223","97210",175,"Simple municipality"
"97222","97212",145,"Simple municipality"
"97220","97213",583,"Simple municipality"
"97229","97213",1016,"Simple municipality"
"97223","97213",610,"Simple municipality"
"97222","97213",1647,"Simple municipality"
"97210","97213",1196,"Simple municipality"
"97232","97213",427,"Simple municipality"
"97224","97213",1252,"Simple municipality"
"97207","97213",1499,"Simple municipality"
"97214","97213",117,"Simple municipality"
"97212","97213",548,"Simple municipality"
"97231","97213",397,"Simple municipality"
"97209","97213",4419,"Simple municipality"
"97230","97213",512,"Simple municipality"
"97221","97213",750,"Simple municipality"
"97227","97213",640,"Simple municipality"
"97217","97213",341,"Simple municipality"
"97205","97213",220,"Simple municipality"
"97228","97213",596,"Simple municipality"
"97206","97213",238,"Simple municipality"
"97202","97213",113,"Simple municipality"
"97228","97214",120,"Simple municipality"
"97228","97216",115,"Simple municipality"
"97226","97217",254,"Sub-prefecture"
"97220","97217",275,"Sub-prefecture"
"97227","97217",136,"Sub-prefecture"
"97232","97217",161,"Sub-prefecture"
"97227","97220",120,"Simple municipality"
"97223","97221",105,"Simple municipality"
"97220","97221",163,"Simple municipality"
"97231","97221",120,"Simple municipality"
"97209","97221",250,"Simple municipality"
"97227","97221",236,"Simple municipality"
"97207","97221",172,"Simple municipality"
"97206","97221",132,"Simple municipality"
"97213","97221",175,"Simple municipality"
"97228","97222",198,"Simple municipality"
"97210","97222",200,"Simple municipality"
"97209","97222",262,"Simple municipality"
"97212","97222",150,"Simple municipality"
"97207","97222",105,"Simple municipality"
"97230","97222",328,"Simple municipality"
"97213","97222",358,"Simple municipality"
"97209","97224",267,"Simple municipality"
"97212","97224",133,"Simple municipality"
"97213","97224",296,"Simple municipality"
"97204","97225",213,"Sub-prefecture"
"97218","97225",150,"Sub-prefecture"
"97217","97226",271,"Simple municipality"
"97221","97227",136,"Simple municipality"
"97217","97227",115,"Simple municipality"
"97220","97227",183,"Simple municipality"
"97231","97227",110,"Simple municipality"
"97230","97228",228,"Simple municipality"
"97222","97228",137,"Simple municipality"
"97216","97228",150,"Simple municipality"
"97210","97229",111,"Simple municipality"
"97222","97229",157,"Simple municipality"
"97213","97229",463,"Simple municipality"
"97209","97229",1608,"Simple municipality"
"97224","97229",265,"Simple municipality"
"97207","97229",209,"Simple municipality"
"97205","97229",250,"Simple municipality"
"97228","97230",462,"Sub-prefecture"
"97222","97230",547,"Sub-prefecture"
"97209","97230",184,"Sub-prefecture"
"97212","97230",248,"Sub-prefecture"
"97213","97230",238,"Sub-prefecture"
"97221","97231",181,"Simple municipality"
"97209","97231",108,"Simple municipality"
"97202","97231",123,"Simple municipality"
"97209","97234",129,"Simple municipality"
"97229","97234",105,"Simple municipality"
