project,nuts2
AMCER,BE10
AMCER,CH07
AMCER,DE92
AMCER,ES21
AMCER,ES61
AMCER,FI19
AMCER,FR10
AMCER,FR10
AMCER,ITI1
AMCER,UKE3
ARTS,AT13
ARTS,ITC4
ARTS,NL33
ARTS,NL33
ATTREG,BE24
ATTREG,DK01
ATTREG,ES51
ATTREG,ITD3
ATTREG,NL33
ATTREG,PL12
ATTREG,PT16
ATTREG,SL02
ATTREG,UKK1
BEST METROPOLISES,DE40
BEST METROPOLISES,DEA5
BEST METROPOLISES,FR10
BEST METROPOLISES,PL12
BEST METROPOLISES,SE11
BSR-TeMo,DE94
BSR-TeMo,EE00
BSR-TeMo,FI1B
BSR-TeMo,LT00
BSR-TeMo,PL12
BSR-TeMo,PL63
BSR-TeMo,SE11
CaDEC,BE10
CaDEC,BG41
CaDEC,ES30
CaDEC,FR10
CaDEC,ITI4
CaDEC,LV00
CaDEC,NL33
CaDEC,RO21
CaDEC,SK01
CAEE,ES51
CAEE,FR71
CAEE,IE02
CAEE,UKD3
CityBench,ES52
CityBench,NL32
DEMIFER,AT13
DEMIFER,ITI4
DEMIFER,NL33
DEMIFER,NL33
DEMIFER,PL12
DEMIFER,SE11
DEMIFER,UKE4
ECR3,UKL2
ECR4,EL12
ECR5,DED5
ECR6,PL63
ECR7,EE00
ECR8,UKD3
ECR9,UKI1
EDORA,AT13
EDORA,DE91
EDORA,DEA5
EDORA,EL23
EDORA,ES52
EDORA,HU10
EDORA,IE02
EDORA,PL12
EDORA,PL12
EDORA,PT17
EDORA,SE11
EDORA,SL02
EDORA,UKC2
EDORA,UKK1
EDORA,UKM12
EDORA,UKM5
EGRONET,BG41
EGRONET,EL30
EGRONET,RO21
EGRONET,RO32
ENECON,DK05
ENECON,EE00
ENECON,FI1D
ENECON,IS00
ENECON,LT00
ENECON,LV00
ENECON,NO01
ENECON,SE11
ESaTDOR,DE80
ESaTDOR,EL14
ESaTDOR,ES51
ESaTDOR,ES52
ESaTDOR,ES61
ESaTDOR,NL32
ESaTDOR,NO01
ESaTDOR,RO22
ESaTDOR,UKD7
ESPON Atlas,DEA2
ESPON Atlas,DEA5
ESPON Atlas,HU10
ESPON Climate,CH04
ESPON Climate,DE40
ESPON Climate,DEA5
ESPON Climate,ES51
ESPON Climate,FI18
ESPON Climate,FI1B
ESPON Climate,HU10
ESPON Climate,HU10
ESPON Climate,NL31
ESPON Climate,NO01
ESPON Climate,RO32
ESPON Climate,SK04
ESPON Climate,UKC2
ESPON DATABASE 2014,FR10
ESPON DATABASE 2014,FR71
ESPON DATABASE 2014,ES51
ESPON DATABASE 2014,BE10
ESPON DATABASE 2014,RO21
ESPON DATABASE 2014,FR10
ESPON DATABASE 2014,LU00
ESPON DeTeC,AT13
ESPON DeTeC,PL12
ESPON DeTeC,SE11
ESPON ON THE ROAD,BE10
ESPON ON THE ROAD,DEA2
ESPON ON THE ROAD,EE00
ESPON ON THE ROAD,EL30
ESPON ON THE ROAD,ES30
ESPON ON THE ROAD,FI1D
ESPON ON THE ROAD,FR10
ESPON ON THE ROAD,HU10
